Expected: 2930, Result: 2930 Passed
Expected: 2268, Result: 2268 Passed
Expected: 2979, Result: 2979 Passed
Expected: 3550, Result: 3550 Passed
Expected: 3456, Result: 3456 Passed
Expected: 2462, Result: 2462 Passed
Expected: 3499, Result: 3499 Passed
Expected: 3457, Result: 3457 Passed
Expected: 2732, Result: 2732 Passed
Expected: 2156, Result: 2156 Passed
Expected: 2842, Result: 2842 Passed
Expected: 2747, Result: 2747 Passed
Expected: 2534, Result: 2534 Passed
Expected: 1693, Result: 1693 Passed
Expected: 2562, Result: 2562 Passed
Expected: 2707, Result: 2707 Passed
Expected: 887, Result: 887 Passed
Expected: 1348, Result: 1348 Passed
Expected: 1253, Result: 1253 Passed
Expected: 1286, Result: 1286 Passed
Expected: 803, Result: 803 Passed
Expected: 1126, Result: 1126 Passed
Expected: 1052, Result: 1052 Passed
Expected: 1198, Result: 1198 Passed
Expected: 514, Result: 514 Passed
Expected: 798, Result: 798 Passed
Expected: 745, Result: 745 Passed
Expected: 971, Result: 971 Passed
Expected: 1044, Result: 1044 Passed
Expected: 1638, Result: 1638 Passed
Expected: 1528, Result: 1528 Passed
Expected: 1680, Result: 1680 Passed
Expected: 1691, Result: 1691 Passed
Expected: 1670, Result: 1670 Passed
Expected: 1511, Result: 1511 Passed
Expected: 1481, Result: 1481 Passed
Expected: 1335, Result: 1335 Passed
Expected: 1448, Result: 1448 Passed
Expected: 928, Result: 928 Passed
Expected: 1422, Result: 1422 Passed
Expected: 1468, Result: 1468 Passed
Expected: 1126, Result: 1126 Passed
Expected: 1054, Result: 1054 Passed
Expected: 1264, Result: 1264 Passed
Expected: 1217, Result: 1217 Passed
Expected: 1348, Result: 1348 Passed
Expected: 970, Result: 970 Passed
Expected: 1161, Result: 1161 Passed
Expected: 670, Result: 670 Passed
Expected: 892, Result: 892 Passed
Expected: 1259, Result: 1259 Passed
Expected: 729, Result: 729 Passed
Expected: 1407, Result: 1407 Passed
Expected: 1561, Result: 1561 Passed
Expected: 1914, Result: 1914 Passed
Expected: 1494, Result: 1494 Passed
Expected: 1174, Result: 1174 Passed
Expected: 927, Result: 927 Passed
Expected: 1226, Result: 1226 Passed
Expected: 1180, Result: 1180 Passed
Expected: 804, Result: 804 Passed
Expected: 981, Result: 981 Passed
Expected: 1297, Result: 1297 Passed
Expected: 852, Result: 852 Passed
Expected: 1490, Result: 1490 Passed
Expected: 1352, Result: 1352 Passed
Expected: 958, Result: 958 Passed
Expected: 1264, Result: 1264 Passed
Expected: 1284, Result: 1284 Passed
Expected: 1071, Result: 1071 Passed
Expected: 875, Result: 875 Passed
Expected: 792, Result: 792 Passed
Expected: 975, Result: 975 Passed
Expected: 683, Result: 683 Passed
Expected: 614, Result: 614 Passed
Expected: 789, Result: 789 Passed
Expected: 1272, Result: 1272 Passed
Expected: 1005, Result: 1005 Passed
Expected: 1088, Result: 1088 Passed
Expected: 923, Result: 923 Passed
Expected: 1164, Result: 1164 Passed
Expected: 1381, Result: 1381 Passed
Expected: 1234, Result: 1234 Passed
Expected: 888, Result: 888 Passed
Expected: 1037, Result: 1037 Passed
Expected: 873, Result: 873 Passed
Expected: 714, Result: 714 Passed
Expected: 558, Result: 558 Passed
Expected: 758, Result: 758 Passed
Expected: 589, Result: 589 Passed
Expected: 785, Result: 785 Passed
Expected: 606, Result: 606 Passed
Expected: 1075, Result: 1075 Passed
Expected: 900, Result: 900 Passed
Expected: 777, Result: 777 Passed
Expected: 696, Result: 696 Passed
Expected: 2943, Result: 2943 Passed
Expected: 3001, Result: 3001 Passed
Expected: 3518, Result: 3518 Passed
Expected: 3691, Result: 3691 Passed
Expected: 1785, Result: 1785 Passed
Expected: 1713, Result: 1713 Passed
Expected: 2764, Result: 2764 Passed
Expected: 3303, Result: 3303 Passed
Expected: 1991, Result: 1991 Passed
Expected: 2083, Result: 2083 Passed
Expected: 2459, Result: 2459 Passed
Expected: 2841, Result: 2841 Passed
Expected: 2242, Result: 2242 Passed
Expected: 2127, Result: 2127 Passed
Expected: 2734, Result: 2734 Passed
Expected: 2839, Result: 2839 Passed
112 out of 112 entries correct
