Expected: 2321, Result: 2321 Passed
Expected: 3213, Result: 3213 Passed
Expected: 2716, Result: 2716 Passed
Expected: 2509, Result: 2509 Passed
Expected: 2597, Result: 2597 Passed
Expected: 3287, Result: 3287 Passed
Expected: 3057, Result: 3057 Passed
Expected: 2855, Result: 2855 Passed
Expected: 2584, Result: 2584 Passed
Expected: 3216, Result: 3216 Passed
Expected: 2726, Result: 2726 Passed
Expected: 2902, Result: 2902 Passed
Expected: 2998, Result: 2998 Passed
Expected: 3781, Result: 3781 Passed
Expected: 3193, Result: 3193 Passed
Expected: 3193, Result: 3193 Passed
Expected: 2893, Result: 2893 Passed
Expected: 2494, Result: 2494 Passed
Expected: 2376, Result: 2376 Passed
Expected: 2863, Result: 2863 Passed
Expected: 2649, Result: 2649 Passed
Expected: 2187, Result: 2187 Passed
Expected: 1913, Result: 1913 Passed
Expected: 2365, Result: 2365 Passed
Expected: 2891, Result: 2891 Passed
Expected: 2735, Result: 2735 Passed
Expected: 2468, Result: 2468 Passed
Expected: 2717, Result: 2717 Passed
Expected: 2959, Result: 2959 Passed
Expected: 2913, Result: 2913 Passed
Expected: 2372, Result: 2372 Passed
Expected: 2885, Result: 2885 Passed
Expected: 1435, Result: 1435 Passed
Expected: 2598, Result: 2598 Passed
Expected: 2837, Result: 2837 Passed
Expected: 1760, Result: 1760 Passed
Expected: 1883, Result: 1883 Passed
Expected: 2865, Result: 2865 Passed
Expected: 2789, Result: 2789 Passed
Expected: 2115, Result: 2115 Passed
Expected: 1513, Result: 1513 Passed
Expected: 2191, Result: 2191 Passed
Expected: 2328, Result: 2328 Passed
Expected: 1693, Result: 1693 Passed
Expected: 1631, Result: 1631 Passed
Expected: 2128, Result: 2128 Passed
Expected: 2438, Result: 2438 Passed
Expected: 1314, Result: 1314 Passed
Expected: 691, Result: 691 Passed
Expected: 246, Result: 246 Passed
Expected: 972, Result: 972 Passed
Expected: 529, Result: 529 Passed
Expected: 367, Result: 367 Passed
Expected: 245, Result: 245 Passed
Expected: 906, Result: 906 Passed
Expected: 638, Result: 638 Passed
Expected: 539, Result: 539 Passed
Expected: 188, Result: 188 Passed
Expected: 798, Result: 798 Passed
Expected: 546, Result: 546 Passed
Expected: 588, Result: 588 Passed
Expected: 185, Result: 185 Passed
Expected: 654, Result: 654 Passed
Expected: 451, Result: 451 Passed
Expected: 2391, Result: 2391 Passed
Expected: 2112, Result: 2112 Passed
Expected: 2107, Result: 2107 Passed
Expected: 1906, Result: 1906 Passed
Expected: 3111, Result: 3111 Passed
Expected: 3238, Result: 3238 Passed
Expected: 3496, Result: 3496 Passed
Expected: 3369, Result: 3369 Passed
Expected: 2536, Result: 2536 Passed
Expected: 3267, Result: 3267 Passed
Expected: 2898, Result: 2898 Passed
Expected: 2968, Result: 2968 Passed
Expected: 3007, Result: 3007 Passed
Expected: 3624, Result: 3624 Passed
Expected: 3536, Result: 3536 Passed
Expected: 3240, Result: 3240 Passed
Expected: 1014, Result: 1014 Passed
Expected: 1100, Result: 1100 Passed
Expected: 1132, Result: 1132 Passed
Expected: 823, Result: 823 Passed
Expected: 994, Result: 994 Passed
Expected: 1682, Result: 1682 Passed
Expected: 1610, Result: 1610 Passed
Expected: 1450, Result: 1450 Passed
Expected: 1287, Result: 1287 Passed
Expected: 1506, Result: 1506 Passed
Expected: 1775, Result: 1775 Passed
Expected: 1477, Result: 1477 Passed
Expected: 1238, Result: 1238 Passed
Expected: 1727, Result: 1727 Passed
Expected: 1501, Result: 1501 Passed
Expected: 1401, Result: 1401 Passed
96 out of 96 entries correct
